baseline.a,from,to,t,p,lower,upper,t2,from_ordered
20,CMD,CVE,0.30000000000000004,6e-4,1e-4,0.0017,20.3,CMD
20,INT->CMD,CVE,0.30000000000000004,4e-4,9.750000000000085e-5,0.0015,20.3,INT->CMD
20,CMD->INT,CVE,0.30000000000000004,1e-4,0,0.0031,20.3,CMD -> INT
20,CVE,CVE,0.30000000000000004,1,1,1,20.3,NA
20,Death,CVE,0.30000000000000004,0,0,0,20.3,NA
20,Healthy,Death,0.30000000000000004,0,0,1e-4,20.3,Otherwise healthy
20,INT,Death,0.30000000000000004,0,0,7e-4,20.3,INT
20,CMD,Death,0.30000000000000004,1e-4,0,0.0010024999999999978,20.3,CMD
20,INT->CMD,Death,0.30000000000000004,0,0,2.0249999999999774e-4,20.3,INT->CMD
20,CMD->INT,Death,0.30000000000000004,0,0,3e-4,20.3,CMD -> INT
20,CVE,Death,0.30000000000000004,0,0,0,20.3,NA
20,Death,Death,0.30000000000000004,1,1,1,20.3,NA
20,Healthy,Healthy,0.4,0.9784,0.9745975000000001,0.9815050000000001,20.4,Otherwise healthy
20,INT,Healthy,0.4,0,0,0,20.4,INT
20,CMD,Healthy,0.4,0,0,0,20.4,CMD
20,INT->CMD,Healthy,0.4,0,0,0,20.4,INT->CMD
20,CMD->INT,Healthy,0.4,0,0,0,20.4,CMD -> INT
20,CVE,Healthy,0.4,0,0,0,20.4,NA
20,Death,Healthy,0.4,0,0,0,20.4,NA
20,Healthy,INT,0.4,0.0152,0.0127,0.0188,20.4,Otherwise healthy
20,INT,INT,0.4,0.9907,0.986195,0.995,20.4,INT
20,CMD,INT,0.4,0,0,0,20.4,CMD
20,INT->CMD,INT,0.4,0,0,0,20.4,INT->CMD
20,CMD->INT,INT,0.4,0,0,0,20.4,CMD -> INT
20,CVE,INT,0.4,0,0,0,20.4,NA
20,Death,INT,0.4,0,0,0,20.4,NA
20,Healthy,CMD,0.4,0.0063,0.004497500000000001,0.0075,20.4,Otherwise healthy
20,INT,CMD,0.4,0,0,0,20.4,INT
20,CMD,CMD,0.4,0.9705,0.9604950000000001,0.9769025,20.4,CMD
20,INT->CMD,CMD,0.4,0,0,0,20.4,INT->CMD
20,CMD->INT,CMD,0.4,0,0,0,20.4,CMD -> INT
20,CVE,CMD,0.4,0,0,0,20.4,NA
20,Death,CMD,0.4,0,0,0,20.4,NA
20,Healthy,INT->CMD,0.4,0,0,3e-4,20.4,Otherwise healthy
20,INT,INT->CMD,0.4,0.0092,0.0048,0.013012499999999988,20.4,INT
20,CMD,INT->CMD,0.4,0,0,0,20.4,CMD
20,INT->CMD,INT->CMD,0.4,0.9995,0.9982975,0.9999,20.4,INT->CMD
20,CMD->INT,INT->CMD,0.4,0,0,0,20.4,CMD -> INT
20,CVE,INT->CMD,0.4,0,0,0,20.4,NA
20,Death,INT->CMD,0.4,0,0,0,20.4,NA
20,Healthy,CMD->INT,0.4,0,0,3e-4,20.4,Otherwise healthy
20,INT,CMD->INT,0.4,0,0,0,20.4,INT
20,CMD,CMD->INT,0.4,0.0283,0.0221,0.0385,20.4,CMD
20,INT->CMD,CMD->INT,0.4,0,0,0,20.4,INT->CMD
20,CMD->INT,CMD->INT,0.4,0.9999,0.995585,1,20.4,CMD -> INT
20,CVE,CMD->INT,0.4,0,0,0,20.4,NA
20,Death,CMD->INT,0.4,0,0,0,20.4,NA
20,Healthy,CVE,0.4,1e-4,0,3e-4,20.4,Otherwise healthy
20,INT,CVE,0.4,0,0,4e-4,20.4,INT
20,CMD,CVE,0.4,0.0011,2e-4,0.0021,20.4,CMD
20,INT->CMD,CVE,0.4,5e-4,1e-4,0.0017,20.4,INT->CMD
20,CMD->INT,CVE,0.4,1e-4,0,0.0044124999999999885,20.4,CMD -> INT
20,CVE,CVE,0.4,1,1,1,20.4,NA
20,Death,CVE,0.4,0,0,0,20.4,NA
20,Healthy,Death,0.4,0,0,1e-4,20.4,Otherwise healthy
20,INT,Death,0.4,1e-4,0,7.024999999999977e-4,20.4,INT
20,CMD,Death,0.4,1e-4,0,0.0011,20.4,CMD
20,INT->CMD,Death,0.4,0,0,3e-4,20.4,INT->CMD
20,CMD->INT,Death,0.4,0,0,3e-4,20.4,CMD -> INT
20,CVE,Death,0.4,0,0,0,20.4,NA
